번호,시간,회사명,종목코드,공시제목,제출인,접수일자
1,7:30,이녹스첨단소재,272290,주식매수선택권부여에관한신고[정],이녹스첨단소재,2020-03-26
2,7:30,알티캐스트,085810,주식등의대량보유상황보고서(약식),신한금융투자,2020-03-26
3,7:30,에프엔에스테크,083500,임원ㆍ주요주주특정증권등소유상황보고서,김팔곤,2020-03-26
4,7:30,대주산업,003310,임원ㆍ주요주주특정증권등소유상황보고서,정석원,2020-03-26
5,7:30,에프엔에스테크,083500,임원ㆍ주요주주특정증권등소유상황보고서,양상재,2020-03-26
6,7:30,에프엔에스테크,083500,임원ㆍ주요주주특정증권등소유상황보고서,유영준,2020-03-26
7,7:30,JTC,950170,주식등의대량보유상황보고서(일반),구철모,2020-03-26
8,7:30,큐브앤컴퍼니,043090,주식등의대량보유상황보고서(일반),큐브파트너스1호조합,2020-03-26
9,7:30,에프엔에스테크,083500,임원ㆍ주요주주특정증권등소유상황보고서,박순호,2020-03-26
10,7:30,슈피겐코리아,192440,사외이사의선임ㆍ해임또는중도퇴임에관한신고,슈피겐코리아,2020-03-26
11,7:38,비피도,238200,[정정]주주총회소집결의,비피도,2020-03-27
12,7:44,비피도,238200,[정정]주주총회소집공고,비피도,2020-03-27
13,8:50,에프엔에스테크,083500,주식등의대량보유상황보고서(일반),한경희,2020-03-27
14,8:56,플레이위드,023770,[정정]참고서류,플레이위드소액주주조합,2020-03-27
15,9:04,루멘스,038060,임원ㆍ주요주주특정증권등소유상황보고서,유태경,2020-03-27
16,9:05,화진,134780,[정정]기타 경영사항(자율공시)(관계인집회 기일 결정),화진,2020-03-27
17,9:07,루멘스,038060,임원ㆍ주요주주특정증권등소유상황보고서,이경재,2020-03-27
18,9:09,유바이오로직스,206650,임원ㆍ주요주주특정증권등소유상황보고서,김덕상,2020-03-27
19,9:12,JTC,950170,임원ㆍ주요주주특정증권등소유상황보고서,구철모,2020-03-27
20,9:31,청보산업,013720,사업보고서(일반법인),청보산업,2020-03-27
21,9:35,에프엔에스테크,083500,자기주식 취득 결정,에프엔에스테크,2020-03-27
22,9:41,KMH하이텍,052900,[정정]전환사채권발행결정,케이엠에이치하이텍,2020-03-27
23,9:41,아이컴포넌트,059100,임원ㆍ주요주주특정증권등소유상황보고서,김양국,2020-03-27
24,9:45,케이엠더블유,032500,단일판매ㆍ공급계약체결,케이엠더블유,2020-03-27
25,9:50,광진실업,026910,사업보고서(일반법인),광진실업,2020-03-27
26,9:51,노바텍,285490,[연결포함]사업보고서(일반법인),노바텍,2020-03-27
27,9:55,삼일,032280,주식등의대량보유상황보고서(일반),티디,2020-03-27
28,10:04,세종메디칼,258830,자기주식취득결과보고서,세종메디칼,2020-03-27
29,10:06,그린플러스,186230,단일판매ㆍ공급계약체결(자율공시),그린플러스,2020-03-27
30,10:06,메드팩토,235980,사업보고서(일반법인),메드팩토,2020-03-27
31,10:08,에코바이오,038870,[연결포함]사업보고서(일반법인),에코바이오홀딩스,2020-03-27
32,10:11,DSC인베스트먼트,241520,정기주주총회결과,디에스씨인베스트먼트,2020-03-27
33,10:14,한일화학,007770,[연결포함]사업보고서(일반법인),한일화학공업,2020-03-27
34,10:14,하나금융9호스팩,261200,주주총회소집결의[정],하나금융9호기업인수목적,2020-03-27
35,10:17,아이컴포넌트,059100,사업보고서(일반법인),아이컴포넌트,2020-03-27
36,10:20,휘닉스소재,050090,[연결포함]사업보고서(일반법인),휘닉스소재,2020-03-27
37,10:22,키움제5호스팩,311270,정기주주총회결과,키움제5호기업인수목적,2020-03-27
38,10:22,티엘아이,062860,[연결포함]사업보고서(일반법인),티엘아이,2020-03-27
39,10:25,고려시멘트,198440,사업보고서(일반법인),고려시멘트,2020-03-27
40,10:26,파세코,037070,정기주주총회결과,파세코,2020-03-27
41,10:26,하이비젼시스템,126700,정기주주총회결과,하이비젼시스템,2020-03-27
42,10:26,제일바이오,052670,정기주주총회결과,제일바이오,2020-03-27
43,10:26,넵튠,217270,임원ㆍ주요주주특정증권등소유상황보고서,정욱,2020-03-27
44,10:27,대모,317850,정기주주총회결과,대모엔지니어링,2020-03-27
45,10:27,레이크머티리얼즈,281740,임원ㆍ주요주주특정증권등소유상황보고서,박상진,2020-03-27
46,10:27,하나금융9호스팩,261200,[정정]주주총회소집결의,하나금융9호기업인수목적,2020-03-27
47,10:28,제일바이오,052670,사업보고서(일반법인),제일바이오,2020-03-27
48,10:31,삼천리자전거,024950,[연결포함]사업보고서(일반법인),삼천리자전거,2020-03-27
49,10:32,하나금융9호스팩,261200,기업인수목적회사의정관변경결정,하나금융9호기업인수목적,2020-03-27
50,10:33,하나금융9호스팩,261200,기업인수목적회사의임원선임결정,하나금융9호기업인수목적,2020-03-27
51,10:33,덕신하우징,090410,자기주식취득 신탁계약 체결 결정,덕신하우징,2020-03-27
52,10:33,케이사인,192250,정기주주총회결과,케이사인,2020-03-27
53,10:36,캠시스,050110,임원ㆍ주요주주특정증권등소유상황보고서,권현진,2020-03-27
54,10:38,필옵틱스,161580,단일판매ㆍ공급계약체결,필옵틱스,2020-03-27
55,10:38,엔피디,198080,감사보고서 제출[정],엔피디,2020-03-27
56,10:38,하나금융9호스팩,261200,주식명의개서정지(주주명부폐쇄),하나금융9호기업인수목적,2020-03-27
57,10:38,흥구석유,024060,사외이사의선임ㆍ해임또는중도퇴임에관한신고,흥구석유,2020-03-27
58,10:40,THE MIDONG,161570,정기주주총회결과,더 미동,2020-03-27
59,10:42,캠시스,050110,임원ㆍ주요주주특정증권등소유상황보고서,권영천,2020-03-27
60,10:45,레드로버,060300,정기주주총회결과,레드로버,2020-03-27
61,10:45,맥스로텍,141070,소액공모실적보고서,맥스로텍,2020-03-27
62,10:45,흥구석유,024060,사업보고서(일반법인),흥구석유,2020-03-27
63,10:45,브릿지바이오,288330,[연결포함]사업보고서(일반법인),브릿지바이오테라퓨틱스,2020-03-27
64,10:46,이상네트웍스,080010,사외이사의선임ㆍ해임또는중도퇴임에관한신고,이상네트웍스,2020-03-27
65,10:46,캠시스,050110,임원ㆍ주요주주특정증권등소유상황보고서,김상학,2020-03-27
66,10:47,큐리언트,115180,[정정]정기주주총회결과,큐리언트,2020-03-27
67,10:50,비엠티,086670,[연결포함]사업보고서(일반법인),비엠티,2020-03-27
68,10:52,캠시스,050110,임원ㆍ주요주주특정증권등소유상황보고서,박영태,2020-03-27
69,10:54,덱스터,206560,단일판매ㆍ공급계약체결[정],덱스터스튜디오,2020-03-27
70,10:54,이상네트웍스,080010,정기주주총회결과,이상네트웍스,2020-03-27
71,10:55,CS,065770,정기주주총회결과,씨에스,2020-03-27
72,10:55,레드로버,060300,본점소재지변경,레드로버,2020-03-27
73,10:55,팬스타엔터프라이즈,054300,정기주주총회결과,팬스타엔터프라이즈,2020-03-27
74,10:55,에스트래픽,234300,기업설명회(IR) 개최,에스트래픽,2020-03-27
75,10:55,다우데이타,032190,정기주주총회결과,다우데이타,2020-03-27
76,10:55,플랜티넷,075130,정기주주총회결과,플랜티넷,2020-03-27
77,10:57,캠시스,050110,임원ㆍ주요주주특정증권등소유상황보고서,김구수,2020-03-27
78,10:59,안랩,053800,정기주주총회결과,안랩,2020-03-27
79,11:00,케이피에프,024880,정기주주총회결과,케이피에프,2020-03-27
80,11:01,신한제5호스팩,323230,정기주주총회결과,신한제5호기업인수목적,2020-03-27
81,11:01,형지I&C,011080,정기주주총회결과,형지아이앤씨,2020-03-27
82,11:02,포스코엠텍,009520,임원ㆍ주요주주특정증권등소유상황보고서,김진영,2020-03-27
83,11:02,클리오,237880,정기주주총회결과,클리오,2020-03-27
84,11:03,라이브플렉스,050120,정기주주총회결과,라이브플렉스,2020-03-27
85,11:04,에이테크솔루션,071670,정기주주총회결과,에이테크솔루션,2020-03-27
86,11:04,안랩,053800,대표이사변경,안랩,2020-03-27
87,11:05,동일금속,109860,주식등의대량보유상황보고서(약식),아이베스트투자,2020-03-27
88,11:06,라이브플렉스,050120,사외이사의선임ㆍ해임또는중도퇴임에관한신고,라이브플렉스,2020-03-27
89,11:06,동일금속,109860,임원ㆍ주요주주특정증권등소유상황보고서,아이베스트투자,2020-03-27
90,11:08,라이브플렉스,050120,사외이사의선임ㆍ해임또는중도퇴임에관한신고,라이브플렉스,2020-03-27
91,11:10,쎄니트,037760,정기주주총회결과,쎄니트,2020-03-27
92,11:10,쎄니트,037760,[정정]현금ㆍ현물배당 결정,쎄니트,2020-03-27
93,11:10,CS,065770,주식매수선택권부여에관한신고,씨에스,2020-03-27
94,11:11,비피도,238200,정기주주총회결과,비피도,2020-03-27
95,11:12,매커스,093520,정기주주총회결과,매커스,2020-03-27
96,11:14,룽투코리아,060240,정기주주총회결과,룽투코리아,2020-03-27
97,11:17,나이스디앤비,130580,정기주주총회결과,나이스디앤비,2020-03-27
98,11:17,코프라,126600,정기주주총회결과,코프라,2020-03-27
99,11:17,덱스터,206560,[정정]단일판매ㆍ공급계약체결,덱스터스튜디오,2020-03-27
100,11:18,노터스,278650,정기주주총회결과,노터스,2020-03-27
101,11:18,서암기계공업,100660,사업보고서(일반법인),서암기계공업,2020-03-27
102,11:19,우정바이오,215380,정기주주총회결과,우정바이오,2020-03-27
103,11:19,우정바이오,215380,사외이사의선임ㆍ해임또는중도퇴임에관한신고,우정바이오,2020-03-27
104,11:19,매커스,093520,사외이사의선임ㆍ해임또는중도퇴임에관한신고,매커스,2020-03-27
105,11:19,인크로스,216050,사외이사의선임ㆍ해임또는중도퇴임에관한신고,인크로스,2020-03-27
106,11:20,필로시스헬스케어,057880,정기주주총회결과,필로시스헬스케어,2020-03-27
