번호,시간,회사명,종목코드,공시제목,제출인,접수일자
1,9:30,코셋,189350,사업보고서(일반법인),코셋,2020-03-27
2,9:48,씨티네트웍스,189540,사업보고서(일반법인),씨티네트웍스,2020-03-27
3,9:53,빅텐츠,210120,[연결포함]사업보고서(일반법인),빅토리콘텐츠,2020-03-27
4,9:58,에스엘에스바이오,246250,사업보고서(일반법인),에스엘에스바이오,2020-03-27
5,10:37,티씨엠생명과학,228180,[정정]주주총회소집공고,티씨엠생명과학,2020-03-27
6,10:48,에이펙스인텍,207490,정기주주총회 결과,에이펙스인텍,2020-03-27
7,11:03,이도바이오,336040,사업보고서(일반법인),이도바이오,2020-03-27
8,11:05,나눔테크,244880,정기주주총회 결과,나눔테크,2020-03-27
9,11:06,디피코,163430,정기주주총회 결과,디피코,2020-03-27
10,11:13,이에스산업,241510,사업보고서(일반법인),이에스산업,2020-03-27
11,11:23,듀켐바이오,176750,정기주주총회 결과,듀켐바이오,2020-03-27
12,11:29,엄지하우스,224810,정기주주총회 결과,엄지하우스,2020-03-27
13,11:30,관악산업,076340,정기주주총회 결과,관악산업,2020-03-27
14,11:46,유투바이오,221800,임원ㆍ주요주주특정증권등소유상황보고서,진혁성,2020-03-27
15,11:59,셀젠텍,258250,정기주주총회 결과,셀젠텍,2020-03-27
16,11:59,케어룸의료산업,327970,정기주주총회 결과,케어룸의료산업,2020-03-27
17,12:03,에프앤가이드,064850,[정정]주식등의대량보유상황보고서(일반),화천기계,2020-03-27
18,12:12,에스제이켐,217910,정기주주총회 결과,에스제이켐,2020-03-27
19,12:28,한중엔시에스,107640,정기주주총회 결과,한중엔시에스,2020-03-27
20,12:44,진코스텍,250030,정기주주총회 결과,진코스텍,2020-03-27
21,12:51,한중엔시에스,107640,사외이사의선임ㆍ해임또는중도퇴임에관한신고,한중엔시에스,2020-03-27
22,13:06,진코스텍,250030,사업보고서(일반법인),진코스텍,2020-03-27
23,13:13,유투바이오,221800,주식등의대량보유상황보고서(일반),김진태,2020-03-27
24,13:16,원바이오젠,278380,사업보고서(일반법인),원바이오젠,2020-03-27
25,13:37,셀젠텍,258250,사업보고서(일반법인),셀젠텍,2020-03-27
26,13:43,파마리서치바이오,217950,사업보고서(일반법인),파마리서치바이오,2020-03-27
27,13:44,피노텍,150440,[연결포함]사업보고서(일반법인),피노텍,2020-03-27
28,13:59,지앤이헬스케어,299480,정기주주총회 결과,지앤이헬스케어,2020-03-27
29,14:00,이비테크,208850,정기주주총회 결과,이비테크,2020-03-27
30,14:01,제놀루션,225220,정기주주총회 결과,제놀루션,2020-03-27
31,14:17,에스앤디,260970,사업보고서(일반법인),에스앤디,2020-03-27
32,14:24,카이노스메드,220250,[정정]회사합병 결정,카이노스메드,2020-03-27
33,14:24,피엔아이컴퍼니,242350,정기주주총회 결과,피엔아이컴퍼니,2020-03-27
34,14:27,비엔디생활건강,215050,사업보고서(일반법인),비엔디생활건강,2020-03-27
35,14:28,라이프사이언스테크놀로지,285770,정기주주총회 결과,라이프사이언스테크놀로지,2020-03-27
36,14:31,엔솔바이오사이언스,140610,정기주주총회 결과,엔솔바이오사이언스,2020-03-27
37,14:31,엘리비젼,276240,주식매수선택권부여에관한신고,엘리비젼,2020-03-27
38,14:32,라이프사이언스테크놀로지,285770,주식매수선택권부여에관한신고,라이프사이언스테크놀로지,2020-03-27
39,14:33,씨앤에스링크,245450,정기주주총회 결과,씨앤에스링크,2020-03-27
40,14:33,골프존데카,183410,정기주주총회 결과,골프존데카,2020-03-27
41,14:39,씨앤에스링크,245450,사업보고서(일반법인),씨앤에스링크,2020-03-27
42,14:48,아이케이세미콘,149010,정기주주총회 결과,아이케이세미콘,2020-03-27
43,14:48,파인이엠텍,278990,[연결포함]사업보고서(일반법인),파인이엠텍,2020-03-27
44,14:48,라온테크,232680,정기주주총회 결과,라온테크,2020-03-27
45,14:49,펨토바이오메드,327610,주식매수선택권부여에관한신고,펨토바이오메드,2020-03-27
46,14:56,카이노스메드,220250,[정정]주주총회소집 결의,카이노스메드,2020-03-27
47,15:02,아이케이세미콘,149010,[연결포함]사업보고서(일반법인),아이케이세미콘,2020-03-27
48,15:10,시그넷이브이,260870,주식매수선택권부여에관한신고,시그넷이브이,2020-03-27
49,15:21,엘리비젼,276240,정기주주총회 결과,엘리비젼,2020-03-27
50,15:26,선바이오,067370,임원ㆍ주요주주특정증권등소유상황보고서,노광,2020-03-27
51,15:26,애드바이오텍,179530,주식매수선택권부여에관한신고,애드바이오텍,2020-03-27
52,15:27,펨토바이오메드,327610,정기주주총회 결과,펨토바이오메드,2020-03-27
53,15:27,제노텍,066830,사업보고서(일반법인),제노텍,2020-03-27
