번호,시간,회사명,종목코드,공시제목,제출인,접수일자
1,9:00,두산중공업,034020,주식선물 2단계 가격제한폭 확대요건 도달(상승),파생상품시장본부,2020-03-27
2,9:00,한화생명,088350,주식선물 2단계 가격제한폭 확대요건 도달(상승),파생상품시장본부,2020-03-27
3,9:00,메리츠종금증권,008560,주식선물 2단계 가격제한폭 확대요건 도달(상승),파생상품시장본부,2020-03-27
4,9:00,하나투어,039130,주식선물 2단계 가격제한폭 확대요건 도달(상승),파생상품시장본부,2020-03-27
5,9:00,두산인프라코어,042670,주식선물ㆍ주식옵션 2단계 가격제한폭 확대요건 도달(상승),파생상품시장본부,2020-03-27
6,9:00,JW중외제약,001060,주식선물 2단계 가격제한폭 확대요건 도달(상승),파생상품시장본부,2020-03-27
7,9:00,씨젠,096530,주식선물 2단계 가격제한폭 확대요건 도달(상승),파생상품시장본부,2020-03-27
8,9:04,하나금융지주,086790,주식선물ㆍ주식옵션 2단계 가격제한폭 확대요건 도달(상승),파생상품시장본부,2020-03-27
9,9:05,한올바이오파마,009420,주식선물 2단계 가격제한폭 확대요건 도달(상승),파생상품시장본부,2020-03-27
10,9:11,LG디스플레이,034220,주식선물ㆍ주식옵션 2단계 가격제한폭 확대요건 도달(상승),파생상품시장본부,2020-03-27
11,9:26,유한양행,000100,주식선물 2단계 가격제한폭 확대요건 도달(상승),파생상품시장본부,2020-03-27
12,9:37,유한양행,000100,주식선물 3단계 가격제한폭 확대요건 도달(상승),파생상품시장본부,2020-03-27
13,9:38,두산중공업,034020,주식선물 3단계 가격제한폭 확대요건 도달(상승),파생상품시장본부,2020-03-27
14,9:42,금호석유화학,011780,주식선물 2단계 가격제한폭 확대요건 도달(상승),파생상품시장본부,2020-03-27
15,9:45,메디톡스,086900,주식선물 2단계 가격제한폭 확대요건 도달(상승),파생상품시장본부,2020-03-27
16,14:17,씨젠,096530,주식선물 2단계 가격제한폭 확대요건 도달(하락),파생상품시장본부,2020-03-27
