충전소명,충전소위치상세,설치시도명,휴점일,이용가능시작시각,이용가능종료시각,완속충전가능여부,급속충전가능여부,급속충전타입구분,완속충전기대수,급속충전기대수,주차료부과여부,소재지도로명주소,소재지지번주소,관리업체명,관리업체전화번호,위도,경도,데이터기준일자,제공기관코드,제공기관명,
홈플러스 구월점,"인천광역시 남동구 예술로 198 , 지하주차장 4층 I4구역(구월동 1130)",인천광역시,-,09:00,23:59,N,Y,DC차데모+AC3상,0,1,Y,"인천광역시 남동구 예술로 198 , 지하주차장 4층 I4구역(구월동 1130)",인천광역시 남동구 구월동 1130,환경부(한국자동차환경협회),1661-9408,37.4517361878,126.7019408,2019-06-27,3530000,인천광역시 남동구,
중부지방고용노동청 별관 앞,인천광역시 남동구 구월동 1111-6,인천광역시,-,00:00,23:59,N,Y,DC차데모+AC3상+DC콤보,0,1,Y,"인천광역시 남동구 문화로 135, 중부지방고용노동청 별관 앞",인천광역시 남동구 구월동 1111-6,환경부(한국자동차환경협회),1661-9408,37.4511354259,126.6995303,2019-06-27,3530000,인천광역시 남동구,
인천시청,"인천광역시 남동구 정각로 29 , 정문 우측 경비실 앞(구월동 1138)",인천광역시,-,00:00,23:59,N,Y,DC차데모+AC3상+DC콤보,0,1,Y,"인천광역시 남동구 정각로 29 , 정문 우측 경비실 앞(구월동 1138)",인천광역시 남동구 구월동 1138,환경부(한국자동차환경협회),1661-9408,37.4562553577,126.7047010106,2019-06-27,3530000,인천광역시 남동구,
인천교통공사 본사,인천광역시 남동구 경인로 674,인천광역시,-,00:00,23:59,N,Y,DC차데모+AC3상+DC콤보,0,1,N,인천광역시 남동구 경인로 674,인천광역시 남동구 간석동 67-2,환경부(한국자동차환경협회),1661-9408,37.4698160389,126.7085318573,2019-06-27,3530000,인천광역시 남동구,
인천아시안게임 남동경기장 1주차장,인천광역시 남동구 수산동 394-54,인천광역시,-,00:00,23:59,N,Y,DC콤보,0,2,N,인천광역시 남동구 수산동 394-54,인천광역시 남동구 수산동 394-54,환경부(한국자동차환경협회),1661-9408,37.4392317,126.731229,2019-06-27,3530000,인천광역시 남동구,
소래제1주차장,인천광역시 남동구 논현동 754-4,인천광역시,-,00:00,23:59,N,Y,DC콤보,0,2,N,인천광역시 남동구 논현동 754-4,인천광역시 남동구 논현동 754-4,환경부(한국자동차환경협회),1661-9408,37.411903,126.730045,2019-06-27,3530000,인천광역시 남동구,
늘솔길공원 3주차장,인천광역시 남동구 논현동 762-3,인천광역시,-,00:00,23:59,N,Y,DC콤보,0,2,N,인천광역시 남동구 논현동 762-3,인천광역시 남동구 논현동 762-3,환경부(한국자동차환경협회),1661-9408,37.3871540506,126.7207448418,2019-06-27,3530000,인천광역시 남동구,
남동복지관,인천광역시 남동구 소래로 645,인천광역시,-,00:00,23:59,N,Y,DC콤보,0,2,N,인천광역시 남동구 소래로 645,인천광역시 남동구 만수동 984-6,환경부(한국자동차환경협회),1661-9408,37.4476235,126.7330404,2019-06-27,3530000,인천광역시 남동구,
장수서창 공영주차장,인천광역시 남동구 서창동 558-3,인천광역시,-,00:00,23:59,N,Y,DC콤보,0,2,N,인천광역시 남동구 서창동 558-3,인천광역시 남동구 서창동 558-3,환경부(한국자동차환경협회),1661-9408,37.4357347,126.7452621,2019-06-27,3530000,인천광역시 남동구,
LH인천본부,인천광역시 남동구 논현로46번길 23,인천광역시,-,09:00,18:00,N,Y,DC차데모+AC3상+DC콤보,0,2,Y,인천광역시 남동구 논현로46번길 23,인천광역시 남동구 논현동 639-1,한국전력,1899-2100,37.4010376541,126.7120195105,2019-06-27,3530000,인천광역시 남동구,
인천광역시 LGBESTSHOP(남동구청점),인천광역시 남동구 소래로 668,인천광역시,-,00:00,23:59,Y,N,-,1,,N,인천광역시 남동구 소래로 668 주차장,인천광역시 남동구 만수동 1072,포스코ICT,1600-4047,37.4490459874,126.7345745,2019-06-27,3530000,인천광역시 남동구,
인천대공원사업소,인천광역시 남동구 무네미로 236,인천광역시,-,00:00,23:59,Y,N,-,2,0,N,인천광역시 남동구 무네미로 236,인천광역시 남동구 장수동 산164,한국전기차충전서비스,1522-1782,37.4576940,126.7492907208,2019-06-27,3530000,인천광역시 남동구,
인천대공원사업소 정문,"인천광역시 남동구 무네미로 238 (장수동, 인천대공원)",인천광역시,-,10:00,18:00,Y,N,-,1,0,N,"인천광역시 남동구 무네미로 238 (장수동, 인천대공원)",인천광역시 남동구 장수동 산78,한국전기차충전서비스,1522-1782,37.4585949158,126.7519687055,2019-06-27,3530000,인천광역시 남동구,
인천광역시 한전KDN 인천지사,인천광역시 남동구 인주대로 885,인천광역시,-,00:00,23:59,Y,N,-,1,0,Y,인천광역시 남동구 인주대로 885 주차장,인천광역시 남동구 만수동 1072-5,포스코ICT,1600-4047,37.4486122927,126.7356019,2019-06-27,3530000,인천광역시 남동구,
인천서부 시승센터(고객만 이용가능),인천광역시 남동구 인주대로 629,인천광역시,-,10:00,18:00,Y,N,-,1,0,N,인천광역시 남동구 인주대로 629,인천광역시 남동구 구월동 1145-7,현대자동차,032-425-7365,37.4501376551,126.7069356171,2019-06-27,3530000,인천광역시 남동구,
LH인천지역본부,인천광역시 남동구 논현로 46번길 23,인천광역시,-,00:00,23:59,Y,N,-,2,0,Y,인천광역시 남동구 논현로 46번길 23 지하 2층 주차장 중간 부근(논현동 639-1 지하 2층 주차장 중간 부근),인천광역시 남동구 논현동 639-1,지엔텔,1544-4279,37.4010376541,126.7120195105,2019-06-27,3530000,인천광역시 남동구,
인천광역시청,인천광역시 남동구 정각로 29,인천광역시,-,00:00,23:59,Y,N,-,3,0,N,인천광역시 남동구 정각로 29 지상주차장(구월동),인천광역시 남동구 구월동 1138,지엔텔,1544-4279,37.4562553577,126.7047010106,2019-06-27,3530000,인천광역시 남동구,
형제전기,인천광역시 남동구 남동대로 150 (고잔동),인천광역시,-,00:00,23:59,Y,N,-,2,0,Y,인천광역시 남동구 남동대로 150 (고잔동),인천광역시 남동구 고잔동 672,케이티,1522-4700,37.3989201882,126.6940525349,2019-06-27,3530000,인천광역시 남동구,
소래포구종합어시장,"인천광역시 남동구 소래역로 12 (논현동, 소래포구종합어시장)",인천광역시,-,00:00,23:59,Y,N,-,1,0,Y,"인천광역시 남동구 소래역로 12 (논현동, 소래포구종합어시장)",인천광역시 남동구 논현동 680-1,케이티,1522-4700,37.3987355807,126.7371771166,2019-06-27,3530000,인천광역시 남동구,
삼천리기계,인천광역시 남동구 남동대로 99 (고잔동),인천광역시,-,00:00,23:59,Y,N,-,1,0,Y,인천광역시 남동구 남동대로 99 (고잔동),인천광역시 남동구 고잔동 693-2,케이티,1522-4700,37.3959653511,126.6900938324,2019-06-27,3530000,인천광역시 남동구,
인천논현푸르지오(입주민),인천광역시 남동구 청능대로 596 (논현동),인천광역시,-,00:00,23:59,Y,N,-,5,0,Y,인천광역시 남동구 청능대로 596 (논현동),인천광역시 남동구 논현동 650-1,케이티,1522-4700,37.4006231625,126.7256506663,2019-06-27,3530000,인천광역시 남동구,
구월4동주민센터,인천광역시 남동구 구월말로 7,인천광역시,-,09:00,18:00,Y,N,-,1,0,N,인천광역시 남동구 구월말로 7 구월4동주민센터,인천광역시 남동구 구월동 1296-6,에버온,1661-7766,37.4496382845,126.7240559,2019-06-27,3530000,인천광역시 남동구,
