"채권종류별(1)",채권종류별(2),2005. 01,2005. 02,2005. 03,2005. 04,2005. 05,2005. 06,2005. 07,2005. 08,2005. 09,2005. 10,2005. 11,2005. 12,2006. 01,2006. 02,2006. 03,2006. 04,2006. 05,2006. 06,2006. 07,2006. 08,2006. 09,2006. 10,2006. 11,2006. 12,2007. 01,2007. 02,2007. 03,2007. 04,2007. 05,2007. 06,2007. 07,2007. 08,2007. 09,2007. 10,2007. 11,2007. 12,2008. 01,2008. 02,2008. 03,2008. 04,2008. 05,2008. 06,2008. 07,2008. 08,2008. 09,2008. 10,2008. 11,2008. 12,2009. 01,2009. 02,2009. 03,2009. 04,2009. 05,2009. 06,2009. 07,2009. 08,2009. 09,2009. 10,2009. 11,2009. 12,2010. 01,2010. 02,2010. 03,2010. 04,2010. 05,2010. 06,2010. 07,2010. 08,2010. 09,2010. 10,2010. 11,2010. 12,2011. 01,2011. 02,2011. 03,2011. 04,2011. 05,2011. 06,2011. 07,2011. 08,2011. 09,2011. 10,2011. 11,2011. 12,2012. 01,2012. 02,2012. 03,2012. 04,2012. 05,2012. 06,2012. 07,2012. 08,2012. 09,2012. 10,2012. 11,2012. 12,2013. 01,2013. 02,2013. 03,2013. 04,2013. 05,2013. 06,2013. 07,2013. 08,2013. 09,2013. 10,2013. 11,2013. 12,2014. 01,2014. 02,2014. 03,2014. 04,2014. 05,2014. 06,2014. 07,2014. 08,2014. 09,2014. 10,2014. 11,2014. 12,2015. 01,2015. 02,2015. 03,2015. 04,2015. 05,2015. 06,2015. 07,2015. 08,2015. 09,2015. 10,2015. 11,2015. 12,2016. 01,2016. 02,2016. 03,2016. 04,2016. 05,2016. 06,2016. 07,2016. 08,2016. 09,2016. 10,2016. 11,2016. 12,2017. 01,2017. 02,2017. 03,2017. 04,2017. 05,2017. 06,2017. 07,2017. 08,2017. 09,2017. 10,2017. 11,2017. 12,2018. 01,2018. 02,2018. 03,2018. 04,2018. 05,2018. 06,2018. 07,2018. 08,2018. 09,2018. 10,2018. 11,2018. 12,2019. 01,2019. 02,2019. 03,2019. 04,2019. 05,2019. 06,2019. 07,2019. 08,2019. 09,2019. 10,2019. 11,2019. 12,2020. 01
"채권합계",종목수 (종목),8575,8528,8403,8342,8329,8391,8339,8254,8300,8276,8326,8351,8302,8295,8280,8327,8303,8275,8225,8189,8162,8143,8113,8145,8123,8178,8171,8194,8181,8235,8272,8308,8321,8396,8505,8516,8545,8637,8657,8780,8802,8932,9030,9118,9131,9140,9213,9283,9426,9492,9471,9416,9392,9366,9352,9388,9472,9427,9481,9520,9485,9497,9424,9421,9395,9424,9461,9484,9508,9465,9493,9516,9440,9489,9431,9432,9417,9424,9429,9466,9562,9662,9766,9785,9757,9814,9868,9876,9891,9964,9933,9919,10005,10091,10082,10216,10189,10378,10363,10454,10442,10615,10581,10685,10752,10962,11084,11255,11335,11391,11422,11472,11549,11582,11669,11660,11666,11719,11818,11850,11926,11899,11977,12040,12103,12179,12234,12191,12249,12269,12320,12364,12403,12354,12445,12565,12525,12550,12611,12614,12646,12597,12663,12687,12620,12687,12690,12899,12876,12957,12898,12949,13059,13001,13096,13119,13028,13050,13108,13145,13150,13167,13229,13274,13262,13278,13302,13362,13348,13352,13412,13440,13484,13544,13535,13586,13653,13747,13848,13938,14014
"채권합계",상장잔액(액면) (백만원),660666645,674063310,688067204,691059985,695344531,703742948,710354525,704661051,712482272,707975742,717557664,721165030,716100636,719193218,729828055,734641345,745617767,756823788,767435523,773082004,771597018,768508135,772641217,778386985,782462885,795898825,800841793,806886927,809276820,819882817,815599636,824864444,818930976,826613955,826092444,828285367,831150056,841870529,841879713,850621595,862684958,860338030,855851351,865776667,852013914,846156393,852308128,863938793,881118369,909717047,923428568,948411520,965973169,980169372,987867506,993904643,1009147744,1013243972,1022212396,1014147945,1025656468,1038973937,1059825329,1068629249,1079762074,1083948364,1088551189,1096781459,1108249174,1112982998,1119332095,1115224218,1117809107,1131999984,1142796510,1149554718,1159697277,1165468509,1170202361,1173789494,1180092299,1190027935,1201827110,1201594350,1206440530,1216382674,1233144353,1242282627,1253127165,1250120333,1254220629,1255577431,1263335544,1272335866,1284008522,1290903379,1304009718,1322056023,1331974173,1344852622,1349997637,1357575166,1365591685,1370473458,1368970932,1377655034,1391200356,1396116538,1405504711,1414619757,1417805680,1423709327,1430414354,1434355863,1447738655,1449000302,1440390096,1445938213,1457656136,1457830145,1467677372,1477534573,1495358854,1510529418,1521235054,1542752953,1556628042,1565296202,1557931161,1557079055,1562149855,1559295692,1567105199,1577730233,1592073732,1601215048,1608833526,1610113713,1617836135,1622979396,1606902929,1611503669,1617150228,1598241988,1604647998,1620849402,1624128359,1640625240,1651823235,1652230886,1658300974,1664654647,1656281538,1650690672,1663187508,1659174789,1667043116,1680268339,1691007713,1702238520,1720521457,1718523332,1732346074,1744290708,1720919134,1725045406,1733117882,1721112218,1734169467,1750657144,1766739984,1780661807,1780898249,1790769373,1799883492,1811107789,1809322743,1822882025,1826649648,1823528584,1842594595
"채권합계",거래량(액면) (백만원),36552390,24131674,30857907,28508602,36641628,36109189,34503607,35991083,28577267,28894023,26045108,19779979,26651637,27566414,24464279,29668994,27360904,22271897,20033500,25176910,26932199,21577093,28055100,15691373,24889856,27558464,31435678,28935508,25903934,35936362,28612225,30994741,25993824,36252313,39736551,19578775,37420496,33775391,36536185,32336943,35296694,34342221,33765291,27721779,26130173,19907858,25839653,33300357,34066903,41252209,52287013,43846738,33383234,51795926,41747792,43737266,47924925,41485007,47347257,25508125,24294768,31755064,39753598,40769945,39471171,49132055,33688483,52874468,93870737,68054085,57664754,52938927,53620017,44490908,60433047,51562529,66311165,79698602,79487518,83109475,80157541,66560548,85862133,63858431,66990171,99702028,123259360,91848576,114429907,124318933,145804807,152265726,136676568,109151785,100048694,86784350,123874733,100854784,107064664,112972337,120304342,106695328,104891268,109655330,93579191,104267527,123696030,104971133,92061900,90192098,92498817,96600048,104656414,130075675,137821297,118429759,118093487,137320611,137374104,118089700,146547298,123866617,168260127,162087423,136892070,136884964,133490124,134230793,149912702,161884888,160436216,147931657,175060304,177772357,233274017,180020906,199085695,268344543,511715940,510895832,301356642,329943149,198673855,114190189,164746600,237515940,286912895,228161847,204187519,241557684,274073978,237956816,199661321,108781696,143929307,102980635,136380092,181327659,306428374,205093431,206209781,217596858,219003310,245694871,190353934,191760910,194302270,111768564,137484660,101474146,174620457,240659603,162608827,209729241,204197069,260677146,182522407,213364730,201139238,121479157,156218332
"채권합계",거래대금 (백만원),36844648,23961999,30433106,28365358,36727271,36333434,34545918,35759327,28095550,28217129,25241679,19275476,26353175,27598792,24155704,29290564,27272995,22233367,20047602,25519807,27025608,21706187,28148104,15580858,24768169,27684763,31478917,28872744,25747391,35288402,28151010,30726586,25356330,35117629,39227104,18975999,37092103,33921038,36504564,32471072,35500648,33800015,32449731,26710416,25310264,19819063,26012497,34415315,35871732,42965267,54178612,45012941,34141766,52519137,42015280,43509644,47219154,40559427,46677631,25523661,23997463,30653312,39415671,40833901,39258901,47915179,33702759,52827991,93175461,69919097,59453719,54052603,53568526,44256801,60543070,51754006,67110863,80465963,80033066,84839080,82266842,67718534,87620611,64649428,67764693,100931550,123584505,92351248,115978205,126128080,150169067,158331531,140037466,111473712,102004094,87610809,126217224,103161852,109557953,115246668,122251864,106284577,103876728,108514242,93075744,104882547,124026282,104893271,92295590,91053000,92462672,96619947,105577687,131902209,141272914,121676175,119904234,140187878,141063073,120877720,151765348,128720064,172891467,166481909,138934127,138093160,133994172,135512089,151291729,164088008,161553306,148907242,177558869,181811669,237667439,183800238,203300782,273548801,519958392,518827512,305389335,332372898,198519884,112248222,162157038,234231989,283007891,225580189,202115592,240729812,273787368,237379814,199587756,107888020,142020414,102063240,134446950,178946454,303731076,203843554,204483787,216945891,219555673,247603849,192136888,194454908,197575853,113526038,140237752,103470799,176877230,243792621,165764390,212513452,207653918,267810657,185952642,215977844,202326357,121506969,155689089
"공채",종목수 (종목),3714,3733,3726,3718,3733,3728,3713,3701,3707,3712,3743,3728,3723,3733,3726,3750,3759,3755,3738,3731,3731,3718,3694,3702,3705,3740,3750,3772,3780,3819,3824,3844,3878,3905,3958,3959,3957,4029,4064,4122,4183,4234,4273,4355,4378,4410,4457,4515,4519,4546,4540,4510,4486,4476,4460,4493,4508,4475,4465,4487,4480,4498,4502,4478,4507,4528,4534,4570,4592,4562,4540,4583,4514,4521,4471,4456,4439,4434,4409,4404,4422,4469,4476,4505,4493,4523,4560,4583,4591,4617,4585,4536,4563,4574,4543,4610,4626,4679,4704,4709,4724,4780,4775,4810,4848,4901,4940,5020,5033,5035,5076,5083,5072,5085,5111,5118,5114,5133,5146,5172,5191,5204,5250,5273,5283,5315,5311,5294,5314,5315,5326,5341,5338,5347,5415,5399,5384,5384,5379,5390,5388,5388,5396,5409,5403,5403,5407,5443,5438,5442,5394,5397,5409,5391,5400,5419,5400,5394,5391,5372,5367,5372,5374,5383,5376,5362,5379,5390,5369,5377,5385,5362,5333,5326,5302,5309,5317,5315,5339,5371,5403
"공채",상장잔액(액면) (백만원),486176050,502494304,520086147,524261670,531249913,537459695,544286277,541049706,545451071,541953762,551010295,553149097,551024283,554278472,562915708,562238105,570988716,581322604,588732052,594248745,592783010,588325181,590009725,593315188,597118209,609030689,611780545,613568721,614771956,624263162,620812837,626879891,620324227,624063734,620686426,620780942,620570319,628994437,628326677,633762907,642747047,641781756,635081629,643228311,629028921,622491685,626919786,635531980,647236132,670848112,681385075,701531230,712680019,725221954,731221514,736577030,749357461,752207839,758882063,750122072,763041221,775904333,796864862,805428036,815619795,818001022,820522507,829570878,841329645,844462970,848931013,844990262,845424258,855914529,867806251,871278769,879166908,881886978,883969897,884181737,887889941,893105025,900688643,900213862,906008262,913714904,927273705,937363005,948728266,942650503,940418979,939327014,940822458,945606760,955118246,960048390,973359230,986441922,995533885,1005036921,1010437443,1017244929,1026322484,1033918941,1030065278,1036080740,1045846021,1050351276,1057294249,1066707373,1072097014,1073543048,1082823304,1089526692,1100839552,1103953251,1094601567,1096833884,1106606213,1107000331,1115829158,1127765657,1145951904,1159846410,1168345243,1186911907,1198932657,1207568083,1199469583,1199613595,1205982199,1201990786,1207737440,1221724524,1237744679,1241198646,1248686436,1247808792,1251905212,1257990229,1242195731,1248383516,1254551188,1236697783,1244184025,1257240848,1259812965,1270670025,1279053237,1276261676,1279374245,1284185568,1272395647,1268778825,1280490392,1277327020,1284843979,1294154286,1303093652,1308899831,1324831965,1321240727,1331886570,1340126032,1312832815,1312819837,1318548268,1304512085,1314349995,1327210843,1337420227,1345065105,1343791341,1346752300,1351138441,1357197230,1352755219,1358947152,1360508831,1355429060,1372087525
"공채",거래량(액면) (백만원),36313878,24021614,30701226,28262613,36549714,35997124,34308289,35859700,28389846,28715834,25928664,19600846,26439406,27453363,24312107,29560739,27240822,22009301,19910859,25076520,26840190,21530486,27927936,15397088,24785502,27472497,31334633,28807520,25757887,35727579,28468726,30863815,25841725,35758273,39109821,18905190,36618494,33343455,35914953,31621464,34651995,33698160,33037675,27144764,25348408,19296197,25392472,32829335,33566362,40687614,51585137,43009294,32736069,50798655,40889466,42970895,47238809,40777658,46707109,24744945,23401259,31186139,38833924,39980910,38736317,48521876,33040064,52254996,93107250,67402923,56891934,51925056,52599684,43764651,59373874,50530909,65319882,78728814,78533106,82108543,79361843,65631434,84750917,62863812,65938640,98598617,121914852,90881306,113567937,123143709,144637037,151336908,135949148,108423042,99245255,85972396,122992022,100135940,106268872,112230757,119354116,105681582,103966751,108522091,92658828,102917162,122721779,103750012,91614888,89905726,92138730,96197369,104245258,129700856,137497963,118175903,117647170,136984012,136482493,117650670,146249992,123541043,167875922,161838223,136730440,136575766,133223192,134082242,149574256,161530872,160170262,147744378,174851934,177604445,232976569,179740975,198761956,267960273,511362808,510564336,301113729,329754542,198451573,113969973,164526131,237222312,286544938,227842067,203716949,241202558,273805684,237433870,199351998,108487896,143616320,102760844,136063075,181110156,306176708,204835851,205877656,217356504,218717156,245462558,190157031,191532411,194095423,111580832,137189818,101231490,174230474,240255449,162284610,209456938,203861152,260448394,182200037,212960791,200890808,121216074,155975782
"공채",거래대금 (백만원),36595978,23851391,30264413,28093020,36628785,36215715,34318675,35603034,27898833,28042880,25133784,19113902,26131918,27490304,24001312,29164793,27138081,21938830,19923695,25413850,26922707,21653494,28009203,15275684,24648767,27584432,31367223,28719225,25569173,35047291,27980654,30589393,25202357,34610398,38520612,18288635,36335929,33516327,35922371,31776197,34897576,33209302,31771237,26181596,24581191,19262212,25611457,33986754,35394033,42434325,53522972,44225945,33534131,51608939,41218626,42781379,46569186,39889358,46076600,24805913,23119811,30111408,38515293,40055039,38545820,47338741,33079416,52228884,92429966,69279834,58703638,53073192,52560197,43553453,59514334,50757563,66150102,79520140,79100159,83844773,81484392,66808079,86530300,63681121,66735357,99826279,122255575,91397294,115125088,124957345,149003836,157423451,139332984,110757510,101214662,86803344,125343700,102453144,108760465,114522102,121324947,105309711,102988711,107421405,92200140,103636379,123098709,103720743,91852697,90774922,92100311,96213836,105163569,131529169,140951477,121422815,119461221,139848429,140158536,120434374,151470599,128389173,172499944,166221233,138776171,137780819,133728479,135361174,150962678,163735965,161292753,148725086,177362577,181651998,237380056,183531049,202990353,273188020,519618932,518516542,305180944,332192296,198302073,112055194,161942288,233946514,282652568,225276425,201663915,240384518,273525747,236902592,199290677,107601691,141711795,101847111,134133711,178732011,303479949,203585439,204155020,216706121,219269726,247369458,191938222,194225446,197367266,113337387,139939745,103226196,176485635,243387021,165433327,212234877,207311694,267576773,185624658,215569189,202075057,121244375,155443273
"회사채",회사수 (개),669,678,676,684,691,713,735,744,758,768,776,787,785,787,781,790,798,793,796,800,801,803,807,808,814,821,814,823,822,820,828,830,832,821,824,833,822,818,830,838,845,856,858,855,856,856,859,851,860,865,867,839,834,825,811,800,799,794,788,781,774,763,745,734,729,722,708,687,679,682,677,672,667,664,654,653,653,639,634,629,626,625,626,619,622,624,621,608,599,595,592,596,596,589,585,582,577,582,571,571,573,580,576,578,579,584,582,588,590,593,589,588,594,593,601,601,599,602,607,611,611,613,618,616,614,616,615,610,609,610,600,601,605,594,592,592,597,594,596,595,596,591,588,588,581,583,576,584,576,579,573,573,575,574,571,570,562,558,558,554,547,544,542,544,542,535,534,536,533,529,532,535,533,541,540,541,546,553,559,560,559
"회사채",종목수 (종목),4854,4788,4670,4617,4590,4657,4620,4547,4587,4558,4577,4616,4572,4555,4547,4570,4538,4514,4481,4452,4425,4419,4414,4439,4414,4434,4417,4418,4398,4413,4446,4462,4441,4489,4545,4556,4587,4607,4592,4657,4618,4697,4757,4763,4753,4730,4756,4768,4907,4946,4931,4904,4904,4888,4890,4893,4962,4950,5014,5031,5003,4997,4920,4941,4886,4894,4925,4912,4914,4901,4951,4931,4924,4966,4958,4974,4976,4988,5018,5060,5138,5191,5288,5278,5262,5289,5306,5292,5299,5346,5347,5382,5441,5517,5539,5606,5563,5699,5659,5745,5718,5835,5806,5875,5904,6061,6144,6235,6302,6356,6346,6356,6477,6497,6558,6542,6552,6586,6672,6678,6735,6695,6727,6767,6820,6862,6921,6895,6933,6952,6992,7021,7063,7005,7028,7164,7139,7166,7232,7224,7258,7207,7265,7276,7215,7282,7281,7454,7436,7511,7500,7548,7646,7606,7692,7696,7624,7652,7713,7769,7779,7791,7851,7887,7882,7912,7919,7968,7975,7971,8023,8074,8147,8212,8227,8271,8330,8426,8503,8561,8605
