"산업별(1)",산업별(2),2005. 01,2005. 02,2005. 03,2005. 04,2005. 05,2005. 06,2005. 07,2005. 08,2005. 09,2005. 10,2005. 11,2005. 12,2006. 01,2006. 02,2006. 03,2006. 04,2006. 05,2006. 06,2006. 07,2006. 08,2006. 09,2006. 10,2006. 11,2006. 12,2007. 01,2007. 02,2007. 03,2007. 04,2007. 05,2007. 06,2007. 07,2007. 08,2007. 09,2007. 10,2007. 11,2007. 12,2008. 01,2008. 02,2008. 03,2008. 04,2008. 05,2008. 06,2008. 07,2008. 08,2008. 09,2008. 10,2008. 11,2008. 12,2009. 01,2009. 02,2009. 03,2009. 04,2009. 05,2009. 06,2009. 07,2009. 08,2009. 09,2009. 10,2009. 11,2009. 12,2010. 01,2010. 02,2010. 03,2010. 04,2010. 05,2010. 06,2010. 07,2010. 08,2010. 09,2010. 10,2010. 11,2010. 12,2011. 01,2011. 02,2011. 03,2011. 04,2011. 05,2011. 06,2011. 07,2011. 08,2011. 09,2011. 10,2011. 11,2011. 12,2012. 01,2012. 02,2012. 03,2012. 04,2012. 05,2012. 06,2012. 07,2012. 08,2012. 09,2012. 10,2012. 11,2012. 12,2013. 01,2013. 02,2013. 03,2013. 04,2013. 05,2013. 06,2013. 07,2013. 08,2013. 09,2013. 10,2013. 11,2013. 12,2014. 01,2014. 02,2014. 03,2014. 04,2014. 05,2014. 06,2014. 07,2014. 08,2014. 09,2014. 10,2014. 11,2014. 12,2015. 01,2015. 02,2015. 03,2015. 04,2015. 05,2015. 06,2015. 07,2015. 08,2015. 09,2015. 10,2015. 11,2015. 12,2016. 01,2016. 02,2016. 03,2016. 04,2016. 05,2016. 06,2016. 07,2016. 08,2016. 09,2016. 10,2016. 11,2016. 12,2017. 01,2017. 02,2017. 03,2017. 04,2017. 05,2017. 06,2017. 07,2017. 08,2017. 09,2017. 10,2017. 11,2017. 12,2018. 01,2018. 02,2018. 03,2018. 04,2018. 05,2018. 06,2018. 07,2018. 08,2018. 09,2018. 10,2018. 11,2018. 12,2019. 01,2019. 02,2019. 03,2019. 04,2019. 05,2019. 06,2019. 07,2019. 08,2019. 09,2019. 10,2019. 11,2019. 12,2020. 01
"어업",소계,190952,188283,170320,146162,165980,189162,223417,210935,245415,278982,279420,243346,254328,249187,258864,242634,223372,224654,250821,261792,284351,274753,292756,269164,267405,263306,281081,317886,446143,471984,600431,685184,608467,599655,597995,611797,550624,732143,750908,810091,954879,895075,878256,791453,660751,519294,622361,632659,628530,565854,626463,722524,748027,743305,829524,812040,795348,792002,726037,805203,821605,812628,792312,776528,826221,877782,849654,851984,855444,1008951,913536,971613,1121468,1187878,1208141,1353745,1292827,1276345,1263414,1151904,1080620,1158209,1091446,1177039,1199824,1251350,1222076,1171748,1198025,1303530,1409189,1430757,1779051,1731433,1785349,1685033,1735883,1670211,1711255,2132791,1983834,2003988,1900896,1617448,1674805,1652430,1715057,1672371,1611179,1749311,1769623,1733865,1684102,1733002,1767222,2036874,1906075,1676014,1652475,1645869,1726309,1773614,2063108,2053586,1902859,1858464,2328492,2057720,2067236,1852885,1643181,1658799,1598234,1628911,1696091,1724197,1825652,1748735,1700699,1671949,1735661,1713637,1800384,1941222,1905873,1988121,1869266,1869258,1796148,1768167,1579240,1621832,1539335,1607505,1741617,1774295,1795448,1661456,1681727,1796116,1763872,1770409,1649528,1582062,1594438,1305437,1213560,1180264,1365132,1307365,1315278,1474701,1377412,1440814,1303494,1297193,1260291,1218430,1247552,1201957,1135750
"광업",소계,44877,56794,51394,39663,42642,51767,52698,45063,51767,46366,53256,48973,45249,42642,39663,42456,35901,34263,31619,35380,33332,35417,40221,37428,249370,247802,259174,246563,265581,257067,248402,228893,247016,251007,230676,224023,204267,235876,73264,65564,65331,58228,53041,48091,48091,28100,24423,28996,30222,27582,30033,37954,48798,47619,51627,47619,51155,47619,46299,41962,37718,39934,37718,50920,38661,37247,40076,36870,43942,41679,37435,38850,41019,37200,39463,35880,32532,35125,32391,27487,23904,25224,22655,21641,22867,30175,22560,21311,20651,20651,20415,21217,23503,22749,20250,19920,22277,21405,22631,22820,24093,21924,21429,20250,20368,20321,21193,19802,20368,20226,19637,19449,19095,18152,18623,18176,18482,16737,17209,17704,17916,19637,22796,23220,25648,23385,24234,21311,22395,25413,24564,25460,24045,23574,41066,41914,59332,56328,60931,56455,67772,59908,57159,55944,60228,43860,45650,50126,99550,91110,95810,91110,78355,78355,74231,81999,98207,113744,116046,136569,110291,101177,241168,232526,272371,180981,181656,137311,147216,144064,143232,146989,208919,185952,157097,167266,182082,244363,309205,316710,289028
"음식료품",소계,11511700,12368640,12472605,12182366,12252434,12788666,13345634,12654308,14785535,14581649,16985573,17178900,17600749,18267989,18073129,18866178,17420013,16538254,16471497,16509410,17525336,17476388,18518432,19422324,18474375,17852004,18504484,19869650,21241889,22176340,24602805,23605166,24955987,27607308,23479239,23013134,20180722,20902617,19565381,20434330,21476304,21062891,19850108,18366964,16724863,13524996,14004432,15460762,14459894,13306132,14055941,12585126,12752806,12500042,13146955,13002615,14218918,15914074,16268773,16953476,16078477,15786267,16488082,16465627,16398056,17038476,17428220,16780168,17859795,17375866,17463061,17930348,17373298,16841370,18536844,19614060,19987454,20273624,22622521,21948906,19401603,20980119,21380729,21502772,21627407,22124974,22289826,23513449,22848201,23089422,22198292,23426894,24889272,26724079,26721116,27165948,27595358,29021067,29406883,31504141,28649344,25901225,26943611,25084035,26666339,26596026,26057977,27084387,26671205,27452053,27422579,28282796,29256881,30471646,31224969,32961699,33658290,32024702,31423329,29657135,32047352,32545977,35170932,37767570,39306575,39618455,40516674,39759547,39456186,37658133,38889479,40458481,42081511,37612067,36228887,35958800,36476355,34975192,34012790,31119824,32303604,30366387,31025926,30085114,30179240,31757606,31299141,31667572,34685159,32801513,31328159,31025513,29814736,34128094,34295813,34858429,36085196,32661958,28327866,29496468,29418808,30652037,28716003,26950594,27042188,24423146,26399594,26395404,27334046,27119889,27373931,27001746,25129618,25798812,23804570,22430873,23817753,23507363,23658364,23997319,22716584
"섬유의복",소계,1302494,1486856,1575588,1587648,1598136,1688890,1853558,1709620,2140356,2373133,2751894,3121880,3365289,3353453,3409303,3430729,2991283,2976697,2798112,2846745,2937283,2955834,3263884,4166334,3933152,3906230,4077199,4543983,5110561,5227794,5855163,5724627,5603956,5496540,5235818,5090100,4279804,4257204,4233662,4581819,4597388,4389140,4187316,3897916,3607272,2459662,2506984,2581680,2537548,2335890,2793643,3460105,3657768,3619124,4107673,3910521,3928258,3880509,3690182,4006208,3711273,3708704,3942576,3866715,3812458,4062326,4161265,4269928,4399498,4563820,4439464,4516370,4520056,4339340,4636230,4876851,5096652,5325401,5697736,5525263,4678656,5067396,5094335,5093241,5417765,5483555,5235230,4995442,3913312,3736041,3546677,4076051,4213699,4137911,4250685,4270656,4046226,4337099,4641535,4987341,4935045,4546596,4585431,4248840,4560887,4682965,4944550,4912365,4833233,4900020,5081672,5049835,5235991,5378250,5450201,6084937,6718076,6779953,6413570,27737549,24717628,28629030,27277552,29197623,33175800,31194328,30438938,31959487,35828053,7754015,7653338,7462538,7531423,7566193,7474172,7445287,6843831,6528613,6256520,5881223,6154532,5935149,5692516,5822185,5554605,5851914,5835635,6033072,6320707,6175734,6182311,6022946,5688907,5810967,6198328,5992997,6295094,5743319,5875159,6149537,6336168,6483542,6195173,6782677,6629893,5329877,5385587,5247831,5553751,5959508,6503922,6656949,5962127,6084151,5839272,5443645,5828516,5760025,5874215,5901909,5289459
"종이목재",소계,1578841,1797419,1702552,1510160,1606253,1676876,1868588,1816149,2090734,2253265,2533958,2599342,2378418,2172565,2197168,2283671,2028565,1953500,1995647,2127079,2200466,2300813,2492358,2427120,2332244,2438334,2653640,2757060,3173068,3111302,3338464,3298450,3479066,3002310,2980464,2945643,2560276,2589439,2483391,2705259,2892854,2765553,2544850,2531026,2437879,1759465,1643576,1781425,1676152,1620473,1779710,2128075,2154436,2143847,2422331,2452310,2336965,2211538,2085046,2210489,2031049,2191587,2238530,2359887,2303355,2385537,2410896,2285634,2369044,2459112,2286927,2398952,2382528,2079889,2186899,2213371,1988620,2054833,2202903,2206222,1816478,1952878,1898057,1984368,2036100,2272512,2148337,2024749,1926402,1973961,2057148,2197516,2325152,2168203,2252153,2219934,2370650,2415326,2708760,3122429,3020001,2801440,2741942,2597126,2666341,2810231,2767596,2651407,2638160,2712253,2731095,2714812,2739995,2725492,2796075,2881862,2966312,2896059,2711342,2664765,2789427,2983306,3167206,3444567,3559992,3380242,3566406,3164804,3196297,3356175,3118685,3089634,2902390,2891770,3075457,3102176,3043530,3052757,3264199,2915295,2954503,2887509,2908680,2965953,3051882,3032158,2993956,2937546,2972932,2946020,2749314,2685665,2529958,2529935,2533123,2488500,2825064,2885180,3133152,3374332,3826735,3435756,3261354,3750693,3702651,2977487,2985680,3038768,3286839,3336570,3306761,3413396,3280306,3378766,2964112,3145515,3008651,2919945,2885031,2846449,3046074
"화학",소계,35575079,41721979,41478227,37956094,38724130,41691565,41579196,42408594,47256759,44425379,46981631,46505219,47684958,47203055,49323427,49468106,45532512,43420650,44095314,45534063,47088007,48865078,52272743,54865292,52344510,54934599,58594615,65171275,74647014,78624673,90975807,89115821,91136718,103243948,90696256,85870639,67549941,77893677,72446615,78891042,80051598,75036525,75373820,67937899,69333693,51546092,51426667,54357079,55801535,53126200,58946477,71362613,73483410,72146287,75131857,79819920,86224571,79608966,81771472,87633836,81665851,83902011,88656309,94870178,91678536,101039954,105893856,115173868,122611972,124429682,128950434,138210908,151433393,137232042,165109992,182088071,182440418,154360500,156670112,132096587,113735999,125117691,118074782,115868971,127827482,130520134,125727669,112040700,110451178,111839810,111537571,114411039,119443446,112404310,112034056,116839484,110539523,110508399,106038480,102425390,105044417,96547581,107019155,105525469,112804586,114028817,110831067,111325064,105322287,106408608,105418041,105464866,106931089,111196097,108958008,108148709,106589543,99864055,102524905,97107440,106015839,112412284,120198190,133040574,132735447,137468134,136076896,126578261,133097905,134769315,139736974,142896823,138228384,137348045,147733773,145345783,143631477,143070424,140040299,137888370,138874328,133189379,128863589,136609237,136857795,138534956,138319727,138159084,151972557,147316911,152586822,157770308,153714459,161930458,163974550,164148761,172279704,163665282,164561561,166596222,159240668,156796228,152732599,151600776,151139743,125572431,131690312,131414233,139049329,142706720,138205467,137510806,152002237,154054057,147311573,142246930,145134759,148507461,145897220,149987475,139259145
"의약품",소계,4611585,5068368,4720923,4629269,5075240,6629902,6479460,6651797,8064287,8176415,10327045,9368980,9113539,9416740,9345667,9230151,8483827,7906295,7860297,8643160,8578749,8866264,9702690,9734039,8692346,8934270,9002980,9094205,11024556,11356567,12930689,13015716,12682624,12534901,12543454,12663032,11554499,12086732,11827029,12854287,12047880,11916473,11161620,10612585,9812885,7380861,8585088,9019212,9066116,9415437,10319657,10905622,10557339,10862448,11329671,12115997,11700263,12004197,10910674,11288968,10634170,10616407,10711303,10127758,9645319,10464261,10342811,11076387,11584860,11202093,10744494,11483775,10688734,10328586,10850621,10745567,9858573,10348965,12263332,10859723,10039132,10697336,10122901,10238005,10867444,10132474,10040117,9402680,9166527,10191797,10487347,11205744,12286871,13549422,12963117,12858069,13779378,14304441,14920258,15618910,14714943,13546213,15504959,14130551,14923266,14621153,14237004,13364340,14142219,14524557,14068857,14197522,13951565,14171752,13778798,14096024,15140495,15098326,14721613,14505308,14424973,15106857,18265998,21380670,24957944,29173125,25828370,24067291,22935988,24948230,28553410,27408454,30762188,27558161,29527754,29804658,33164043,34394908,31909277,30545491,30550304,23852082,33689156,34545014,32020923,34259805,34768883,35683213,41579849,45221098,42543410,43634479,47399265,51096893,51604430,54491988,62760061,103337423,102353663,97594522,93608994,93954274,86692563,96454870,105017233,77123267,80791444,81293509,82660762,80616361,72426226,79039236,70785146,73599418,63595967,60866605,64001518,76915077,72908714,77134857,76587084
"비금속광물",소계,3781894,3793709,3726378,3270631,3528579,3933991,4208863,4438825,4111176,3880953,4105712,4375552,4098681,4333816,4345356,4446760,4000244,3793483,3553819,3689891,3772418,3860196,4337935,4316651,3877032,3993333,4340696,4828524,5531213,5855930,6156501,6321662,6503131,6110662,5691995,5839618,5226460,5363834,5071779,5088502,4994215,4675207,4426883,4255835,3938575,2615258,2534260,2901032,2818684,2669757,3009389,3852506,3519385,3399627,3740164,3854357,4045682,3676401,3525196,3854348,3484787,3414643,3611202,3510373,3068001,3242655,3234073,3405918,3803559,3946349,3850587,4051942,4022019,3405624,3921652,3958010,3857576,3864200,3956178,3600543,2917802,2949506,3018267,3149757,3265586,3625799,3537625,3230346,2872326,2957626,2917481,3181617,3279414,3262855,3210109,3243388,3684047,3761905,3756887,3688700,3837623,3521531,3561442,3520843,3764708,3753367,3599650,3597659,3673310,4225913,4591835,4625731,4744418,5526319,5397919,5926674,5945229,6004954,5984685,6343125,7241183,7674414,8464956,8470370,8675807,8758469,9165568,8380862,8190160,7618163,7235582,7481847,7147520,7389877,8392216,8860745,8415825,8466377,8884632,7997080,8139400,7915672,7653816,7528577,7331570,7548636,7461604,7338463,8106219,7610142,7643173,7323511,6680717,7295792,8128040,7611221,8573794,7772812,7810496,9618323,11540868,9582505,9341458,9655486,10206262,8056616,9022871,8347938,9135826,8781842,8699715,8506117,11908820,12250321,10861509,11124782,10981883,10881725,10595878,10747687,10599391
"철강금속",소계,23108936,29010415,25565042,22729825,23027430,23256926,26118177,27125699,30631363,28094782,27566636,26709406,29254154,30317952,32243928,34502185,32280257,32354199,30313192,31582102,32022297,33890374,37531372,38630502,39277297,41848699,46460714,48519189,56718314,55873617,68323390,72128207,81477532,79400770,71276868,70095101,61099766,65396515,59213085,62329535,69736681,68195815,67143173,57236315,54410920,41571545,39899829,44454530,43191607,38315528,44845559,50378411,53215658,53167391,61863862,58837744,61542753,63290653,67998075,74749383,66022964,66343617,67082077,65130839,61566558,62238885,66219106,66858769,72589976,66650541,66520869,71524484,70640846,70542436,78158164,76663960,72238786,76452654,77971016,69046135,59860780,63891188,60863509,59882725,67162344,69652049,63613786,61306234,57409233,58452741,58560205,60025059,62630823,57433528,55665907,58308819,56958600,57048413,54028108,52283765,53459305,48831495,52447374,53292458,54609042,53938076,53358942,54140279,51152983,49177516,50681816,51716938,51513730,53651094,58890747,58438841,56860732,53371819,53317601,49840801,49218239,50720427,49707664,53002499,52269671,50444754,45206947,43598041,40860827,41722190,39701692,39378961,38853080,42231698,45443402,49213081,43417495,42961858,46577186,46243271,45893551,45718662,47791294,49955287,51921589,52030387,52343548,49344719,52107766,53941550,58919811,59606893,54881109,56596208,57171528,56562478,61865750,58721331,54212987,59464710,56098408,52327076,52575926,52345517,50597746,42466469,43061754,43255555,47653429,46859925,45119796,45438132,43063094,44971167,41389107,39476628,42438148,39407729,40497083,41478682,38173985
"기계",소계,5696380,6190671,6179220,5593617,6672765,7690384,8475954,8260639,9516698,9983325,11943554,13455328,12653369,12517414,12785910,12977892,9938020,10534226,10606770,11054214,12105104,11542099,12538790,13122814,12440151,13409316,15484763,18737408,23412982,22098601,25093807,23431584,24268382,32453464,28645375,25909934,19942194,26764561,26090791,23387427,26023127,22208262,21568226,17238215,17731198,11447602,11196378,12900441,14012722,12414380,14394776,17753656,17048326,14755477,16212176,15712991,15817087,15142139,13933181,17094998,17144266,18037642,19227803,18701447,16522073,17298823,18047389,16859961,20360669,22147914,20062029,21987444,22379999,19877722,22087986,21143225,19627417,20046691,22325934,18866109,17791396,19053456,18513375,18133562,19117538,20728780,19063849,17474222,16173881,16897608,17190375,17126268,17298860,14852618,14462111,15626932,15725595,15416189,15975300,15115702,16467122,15365404,16304269,16595756,17828713,17276184,15941504,15994036,16085533,16088609,17453182,16464161,19820892,19452755,19525399,19132448,17920200,16949655,17146712,16952259,17570895,18722186,17820944,19026050,17696174,17225334,16514340,15482939,15609552,18596420,19885465,19420284,18625386,18379593,19229343,20505406,19065351,17665792,19528106,19668924,19664067,17776371,17058061,18152174,17196814,17044410,18792491,18458595,19585586,19659455,19515834,19833206,19816683,20342272,19858694,21323912,23179276,21302543,21634404,22576269,22960303,20270732,20030041,20480352,21617313,17232988,17570016,18040536,20168457,18953546,17862703,18801726,21161108,21974765,20611034,20395469,21410805,20071765,19406901,20226597,18780443
