"주식지표별(1)",주식지표별(2),2005. 01,2005. 02,2005. 03,2005. 04,2005. 05,2005. 06,2005. 07,2005. 08,2005. 09,2005. 10,2005. 11,2005. 12,2006. 01,2006. 02,2006. 03,2006. 04,2006. 05,2006. 06,2006. 07,2006. 08,2006. 09,2006. 10,2006. 11,2006. 12,2007. 01,2007. 02,2007. 03,2007. 04,2007. 05,2007. 06,2007. 07,2007. 08,2007. 09,2007. 10,2007. 11,2007. 12,2008. 01,2008. 02,2008. 03,2008. 04,2008. 05,2008. 06,2008. 07,2008. 08,2008. 09,2008. 10,2008. 11,2008. 12,2009. 01,2009. 02,2009. 03,2009. 04,2009. 05,2009. 06,2009. 07,2009. 08,2009. 09,2009. 10,2009. 11,2009. 12,2010. 01,2010. 02,2010. 03,2010. 04,2010. 05,2010. 06,2010. 07,2010. 08,2010. 09,2010. 10,2010. 11,2010. 12,2011. 01,2011. 02,2011. 03,2011. 04,2011. 05,2011. 06,2011. 07,2011. 08,2011. 09,2011. 10,2011. 11,2011. 12,2012. 01,2012. 02,2012. 03,2012. 04,2012. 05,2012. 06,2012. 07,2012. 08,2012. 09,2012. 10,2012. 11,2012. 12,2013. 01,2013. 02,2013. 03,2013. 04,2013. 05,2013. 06,2013. 07,2013. 08,2013. 09,2013. 10,2013. 11,2013. 12,2014. 01,2014. 02,2014. 03,2014. 04,2014. 05,2014. 06,2014. 07,2014. 08,2014. 09,2014. 10,2014. 11,2014. 12,2015. 01,2015. 02,2015. 03,2015. 04,2015. 05,2015. 06,2015. 07,2015. 08,2015. 09,2015. 10,2015. 11,2015. 12,2016. 01,2016. 02,2016. 03,2016. 04,2016. 05,2016. 06,2016. 07,2016. 08,2016. 09,2016. 10,2016. 11,2016. 12,2017. 01,2017. 02,2017. 03,2017. 04,2017. 05,2017. 06,2017. 07,2017. 08,2017. 09,2017. 10,2017. 11,2017. 12,2018. 01,2018. 02,2018. 03,2018. 04,2018. 05,2018. 06,2018. 07,2018. 08,2018. 09,2018. 10,2018. 11,2018. 12,2019. 01,2019. 02,2019. 03,2019. 04,2019. 05,2019. 06,2019. 07,2019. 08,2019. 09,2019. 10,2019. 11,2019. 12,2020. 01
"회사수 (개)",소계,683,685,688,679,680,680,684,695,695,698,700,702,703,706,708,708,714,718,723,723,724,726,729,731,734,735,735,732,732,733,735,736,738,742,745,746,748,752,754,756,757,761,766,763,766,767,765,765,765,764,768,763,759,761,760,760,762,764,766,770,771,773,775,770,769,772,772,773,777,775,777,777,778,780,781,780,778,784,787,787,788,788,788,791,791,791,789,789,788,788,786,786,786,786,786,784,779,779,778,774,774,773,774,774,774,774,776,777,777,775,775,770,772,772,771,773,773,773,775,773,769,767,765,762,762,763,765,765,765,766,768,770,769,770,770,769,769,769,773,774,776,778,778,779,774,775,774,770,777,769,768,767,766,768,770,774,776,777,777,777,777,779,784,787,788,788,789,788,788,788,791,791,790,789,789,789,789,794,798,799,800
"종목수 (종목)",소계,842,844,847,835,836,836,840,852,852,855,857,858,858,861,863,862,868,873,877,877,878,879,881,885,888,889,889,888,888,887,891,893,899,902,906,907,909,913,915,917,918,922,928,925,928,930,928,928,928,927,929,924,917,919,918,917,919,920,921,925,924,927,928,924,920,921,921,922,926,924,926,927,927,929,930,928,924,930,933,933,934,934,934,938,939,939,937,937,936,934,932,932,932,932,932,930,924,924,922,918,917,916,917,917,918,918,920,918,913,911,911,905,907,907,898,899,899,899,901,899,893,890,888,883,883,884,883,883,883,884,885,887,885,886,886,885,885,885,889,890,892,895,895,896,890,891,889,885,891,883,882,880,878,881,883,887,890,891,892,892,891,893,898,901,902,902,903,901,901,901,904,904,901,900,900,901,901,910,914,916,917
"상장주식수 (주)",소계,23102271583,23294412728,22949625305,22764405319,22790911238,22787665541,23071531116,23131332681,23082626486,23258898731,23420895314,23235743282,23147231561,23409325966,23817844201,23945393795,24144633578,24321762531,24713398509,24771728562,24881647680,24921422920,24863366820,24960514892,25182552756,25302235767,25244409346,25171962922,25132310621,25407888517,25461299490,25607772815,27768359269,27919535149,28116542894,28244124605,28278206740,28440991269,28556607155,29077318102,29774750619,29749417933,30298185863,30374925556,30507929245,30690047362,30895766922,29097293781,29266240301,29316312383,29557157129,29757519452,30183874812,30132585570,30140883086,30450435100,30568683585,30731951759,31206052647,31377117834,31436695037,31428247406,32054565160,32287170852,32928318784,33083885105,33172096118,33623862397,33774020530,33873320506,33479300835,33706254753,33889216865,34091677808,34235998079,34182874444,34585348750,34811290501,34514203694,34661715157,34755837654,34889345907,35060752516,35402934249,35551670948,35663560767,35170686038,35624629572,35893194273,35951079677,35713084075,35852331551,35732885116,35673623759,35614503694,35823033471,35504188396,35601504509,35543822784,35024821492,34522859299,34585749951,35051686684,34830927895,34876022876,34980899906,35093159459,35217293192,35183917504,34769405262,35599035360,34934983555,34972846473,35309872916,35436576438,35474220765,35538045793,35612841692,35954385105,36142636820,36020331980,35868477946,35890295710,35999301636,36329781849,36495202978,37010575366,37000746213,37017171483,37874448293,38111359829,38278300789,38407285055,39124046221,39205048933,39075733516,39360155992,39508885827,40067278622,40312324700,40398978178,40635495176,40898582906,41031721448,41191126408,41211879849,41133880517,41226790566,41867997668,41893859406,41946483805,42007883517,41737792706,42240085680,42313257696,42497825451,42641261615,42836229228,43167779306,43355407357,51029760835,51125980701,51824117347,52005827833,52063119299,52269940511,52337546122,52094789048,52362035044,52486929008,52607645632,52846165737,53562064556,53568677689,53792332654,54037382585,54167539003,54685125279,54938973241,55322658427,55465186013
"상장자본금 (천원)",소계,83794197333,84992259524,82370571183,80976558944,81057744675,80750587540,80987519599,81155275052,81127059925,81533704908,81796948977,80586911344,79834631998,80270226107,81989016192,82122237703,82064401924,82239600349,82747375076,82887651741,82957002990,82898977707,82900715238,82945813610,83763459280,83782115554,83829502133,84129323813,84056867379,84765566001,84876139311,85140042363,85444899921,85055491971,85353280522,85588994448,85533413642,85747536725,86718684550,88223680445,88318107018,88416920475,88745965949,88687986562,88777807859,88915363294,89595288802,89662121686,90241090408,90329749234,91122443226,91276767759,91463178288,90812799138,91026218688,91286720083,91514416800,92280467265,92378558527,92467670093,92717410312,92342617682,96645274437,98969831488,98881721437,98979345328,99124987270,99397276062,99692264967,99897350633,97880164294,98411508917,98896926563,99264907902,99547137149,99581045568,99700056297,100587079652,101010739969,101159274640,101434744439,101491858826,102260800307,102935404653,103663493474,104258939018,104439453285,104765864724,104636906373,104770879039,104413826550,104449242214,104557782681,103980452916,103525875401,103883974689,103229409473,103271227252,102554715586,101562149482,101418844125,101555201054,102153439144,102099146687,102059317731,102593537439,102935717314,103352165116,103397482496,100962983100,103069788425,101235136656,101161217274,102193545493,102483901850,102651856105,102819450664,103077105926,103333959518,103399918890,102706257139,102380839341,102118137337,102125954847,102227848921,102127873192,103248556026,103071730362,102190313120,102667236331,103247953559,103574718498,104032098561,105252460747,105316914474,105270337631,104317229857,104611809638,105064359738,105908964621,105947500686,106648655952,106828161236,106958200550,106984815573,106984522075,106041146209,106532333334,106811155399,106812664813,106827155721,107103407803,107156224137,107244162189,107486916025,107881126490,108030527465,108201804451,109048189200,109169733446,110336201497,110475320639,111283947953,111381905164,111462751298,111534914307,111629770420,111933072561,112110790338,112250532397,112357490052,112566389653,112982032298,112799913528,112933487720,113229891857,113749015194,114075369854,114708433071,114868148506,114951851036
"상장주식시가총액 (천원)",소계,430657652353,469423504319,448728098283,422639998913,450819008939,468409553682,518356763779,505714893698,570574877282,542754770496,608655859088,655074594730,666033273517,666368346785,662902488838,693152402998,642423590049,633158181100,636260933489,664895638667,674270132274,669926046243,703252480620,704587507977,668640361807,696039726469,713293315992,757287335269,835119358767,863539798471,961205968142,932094722942,974020973115,1029274302742,953827057267,951917906610,817429349412,860219016088,861436159118,926729918513,940202137701,850869790645,809816923866,749708047400,736656677138,566438073901,554122785675,576927703499,598142080060,547085652272,623454450737,710678763724,725874519843,720211903210,808503556086,829731246261,872915510392,828748895041,819088120800,887935182729,848135731614,844069183739,903948739606,931743290901,904296218993,936499676035,972819698832,963954317354,1037666711602,1045085746531,1058643583387,1141885458029,1156745579600,1086352089658,1181416523319,1229813409026,1201535707564,1183469295894,1203578276898,1062663270972,1001920299979,1081785631922,1049141144634,1041999162203,1117151541595,1163380789794,1157582327103,1141667286545,1061319738973,1068289005763,1086394780733,1098073004644,1150626142542,1103576637301,1117290216080,1154294166644,1135191271306,1173192547096,1161664022238,1137603875108,1164218037391,1084216313953,1114570889463,1128186067840,1167983077479,1193781141951,1204177350862,1185973723791,1145521359204,1173450010714,1182487723289,1168022515489,1192616534972,1197216679558,1242416180846,1238885905690,1205667458185,1176141815454,1216291668332,1192252867277,1213492316281,1235242828772,1272317323156,1327284545074,1318606946667,1293129966850,1268862612347,1212680898198,1230579424327,1284928131690,1263656186094,1242832089301,1207457689754,1213244564069,1265001895756,1261953135803,1255356335024,1250198141816,1283158113812,1296942351421,1301803836991,1279754772935,1277304960714,1308440373892,1338409356638,1351894956403,1400961584517,1430873637911,1519224318668,1549261008078,1560654851501,1535629495111,1558243982037,1642285252211,1607169300611,1605820911910,1668579804447,1611555217440,1627646951097,1680104341308,1619387832449,1554717340202,1536034531292,1554873150916,1567600410138,1361478009940,1403482457592,1343971857986,1455505296056,1448767023639,1417246090701,1461526970030,1358693515770,1419520754393,1349751511726,1313598665258,1379383990482,1397134899921,1401938201846,1475909365806,1427047754940
"거래량",합계 (주),8288867148,8563857690,13025550679,8541384533,6670695053,8515533976,13622230221,9665785189,9193300255,9704152277,10318911932,10329465137,10209717340,7212316140,7134089015,6887219165,5300468462,4457237502,3763931817,4513439843,5243395864,4807195500,5149555169,4258216949,4240094659,4381106517,5811739412,7849449106,8742764548,10039698736,10323637365,8622321758,6978101739,9678595810,7386741896,5451822982,6330309883,5773574363,6081649198,6138616838,5927241392,6315615695,6807334522,4787341820,8267208158,10082967809,11203328814,10433874731,7225877902,10348656360,11494816841,16145462806,13628936290,11062188450,10660509944,10752935664,10569566040,7699489766,5911530860,7371315280,9198261139,7218121684,9195168117,9306220950,7575636433,7103622585,8048091640,7286103193,6323707615,7793686967,7768852431,8778235252,8198079720,5354980362,6618839798,7719731054,6219729462,5472902687,6595203861,9609850812,7688867103,7305435174,7829883788,9118909356,8596087354,13202088993,10434651843,10647344379,10022309404,7462676963,8280468942,9802758338,15066407506,10136609145,9848706476,7146814037,10904399834,7307563463,6856629708,7694367824,6586990491,5605481248,7603760678,7039963220,5085117680,5704775166,6103860944,4603476207,5094964760,4482220100,4969832104,4689895475,4285616189,4602084429,6982981487,6081534911,6541942310,7389479340,6296656603,6712881734,6845805102,5913355980,8511830078,11582852814,7388813680,9174692576,13372267831,8368886020,10051533042,13186506655,8998662005,9508193190,7301544849,6189329878,7747195885,7973516371,9650547747,9815343034,8068033728,7805243200,8851698777,6637063397,6610609333,6035914893,8424323255,7128934172,8869997309,7729441990,7028358028,7483888294,6225326968,5723885962,5842712235,5051619002,7474555595,5748026490,8253530594,7281216250,8078904661,10439849786,12820544339,9450856204,7509557921,6204573096,5433226207,7022096257,6978958763,7631879180,9455197243,6882554315,6458055507,9689748201,11242891618,11256687016,11908954060,10472131195,8620782748,8884391876,10737647300,10188752704,13096066333
"거래량",일평균 (주),394707959,503756335,592070485,427069227,317652145,405501618,648677630,439353872,437776203,485207614,469041451,491879292,486177016,360615807,324276773,344360958,265023423,212249405,188196591,205156357,249685517,253010289,234070690,224116682,192731575,230584554,276749496,373783291,416322121,501984937,491601779,391923716,410476573,439936173,335760995,302879055,287741358,320754131,289602343,292315088,311960073,315780785,295971066,239367091,393676579,458316719,560166441,496851178,380309363,517432818,522491675,733884673,717312436,502826748,463500432,512044555,480434820,366642370,281501470,351015013,459913057,379901141,417962187,423010043,398717707,338267742,365822347,331186509,332826717,371127951,353129656,399010693,390384749,314998845,300856354,367606241,310986473,260614414,314057327,436811401,384443355,365271759,355903809,434233779,429804368,628670904,496888183,532367219,477252829,373133848,376384952,445579924,753320375,482695674,447668476,397045224,495654538,384608603,342831485,349743992,313666214,295025329,330598290,335236344,282506538,271655960,290660045,230173810,254748238,224111005,236658672,213177067,225558747,242214970,303607891,304076746,344312753,351879969,314832830,319661035,325990719,347844469,386901367,526493310,410489649,417031481,581402949,418444301,502576652,627928888,428507715,452771104,365077242,343851660,352145268,398675819,482527387,467397287,384192082,354783782,465878883,331853170,300482242,287424519,421216163,356446709,403181696,386472100,369913580,356375633,296444141,260176635,278224392,315726188,339752527,302527710,375160482,404512014,384709746,497135704,641027217,497413484,341343542,282026050,319601542,334385536,317225398,401677852,429781693,404856136,322902775,440443100,535375791,592457211,517780611,498672914,453725408,423066280,511316538,509437635,654803317
"거래대금",합계 (천원),48483176454,53308389978,66753354300,42533605100,37402092259,51460531020,72052750135,67375797908,78078722058,75930869557,92365190958,100513386550,121064472914,86292861396,74732141681,82237201194,76289548616,63814999559,51207519116,58971802736,59831662039,55330542213,65667398803,53049400565,56815026104,63719184157,66131937487,93918255868,106275261751,146336028334,160218023967,136168794563,96380573332,181201217491,160395491617,95317283012,121141300318,84394727985,101193706251,120392205239,113355607955,93315901647,109556727807,76671338357,116677878596,129095012589,111686094007,109684260629,88109437578,90300879643,109299070331,170473841852,147463919950,120692644995,128452557545,143951851461,164700378793,117772629195,87284404723,97773147914,123064742433,76896583026,95239516900,125064408085,119147325142,106368694959,122397459828,110753440211,114779093654,137457201389,147469966684,131923380556,161085621656,105043420918,150598469671,193179103489,145884434962,137852832424,143801818137,178743814169,128320560478,134068573516,120038884239,103442795390,108342714418,143813526842,112729323141,99300886337,98513952441,81412894523,90045718080,96057526523,104338392881,90417551980,95325893967,75965029283,97555772533,69822411836,76613684492,95888282542,88639780685,77990126381,83781013996,80345570904,80298189739,89117652925,77574154145,68748625917,77602238698,74108634354,77174996855,78614318794,69644555718,74625559725,92791275129,82492590031,80458234035,93716035851,93030918642,81717769477,92609253736,76885296012,111260733425,144905578294,105866114122,130921182666,156197918281,115946927817,98707756487,111527233636,99275934667,83125997619,95483140006,82859217791,97482610318,94093322393,100721933795,109188478115,88673533797,96233319918,86379070708,89664356261,98079114813,73810634354,82234229121,89681628177,110563641242,91975121242,117968317489,128790315588,111511269508,108662800799,110700218231,99238619477,137935150525,104898465503,157136686018,123961468886,144557236057,164052568097,181065264275,143377974829,121236920671,114980946076,103179959818,128133220325,116439444410,99742194373,123269550926,95521375674,98439945182,118322428676,113039830448,87408487947,101867676835,97918870808,85892320227,92843022831,111659054443,101309950343,128693460715
"거래대금",일평균 (천원),2308722688,3135787646,3034243377,2126680255,1781052012,2450501477,3431083340,3062536269,3718034384,3796543478,4198417771,4786351740,5764974901,4314643070,3396915531,4111860060,3814477431,3038809503,2560375956,2680536488,2849126764,2912133801,2984881764,2792073714,2582501187,3353641271,3149139880,4472297898,5060726750,7316801417,7629429713,6189490662,5669445490,8236418977,7290704164,5295404612,5506422742,4688595999,4818747917,5732962154,5966084629,4665795082,4763335992,3833566918,5556089457,5867955118,5584304700,5223060030,4637338820,4515043982,4968139561,7748810993,7761258945,5486029318,5584893806,6854850070,7486380854,5608220438,4156400225,4655864186,6153237122,4047188580,4329068950,5684745822,6270911850,5065175950,5563520901,5034247282,6041004929,6545581019,6703180304,5996517298,7670743888,6179024760,6845384985,9199004928,7294221748,6564420592,6847705626,8124718826,6416028024,6703428676,5456312920,4925847400,5417135721,6848263183,5368063007,4965044317,4691140592,4070644726,4092987185,4366251206,5216919644,4305597713,4332995180,4220279405,4434353297,3674863781,3830684225,4358558297,4220941937,4104743494,3642652782,3825979567,4461010541,4243697758,3694007340,3437431296,3880111935,3705431718,3674999850,3573378127,3665502933,3927661038,4034403266,4124629502,4234643897,4462668374,4651545932,3891322356,4409964464,4522664471,5057306065,6586617195,5881450785,5950962848,6791213838,5797346391,4935387824,5310820649,4727425460,3958380839,4774157000,4603289877,4431027742,4704666120,5036096690,5199451339,4222549228,4374241814,4546266879,4483217813,4458141582,3514792112,4111711456,4484081409,5025620056,4598756062,6208858815,6132872171,5310060453,4939218218,5271438963,6202413717,6269779569,5520971869,7142576637,6886748271,6883677907,7812027052,9053263214,7546209202,5510769121,5226406640,6069409401,6101581920,5292702019,5249589178,5603161406,5618904451,4921997259,5378292213,5382849069,4600446734,4429029428,4662803372,4520648433,4421096325,5317097831,5065497517,6434673036
"회전율",상장주식 (%),35.81,36.76,56.29,37.29,29.3,37.37,59.19,41.83,39.8,41.86,44.23,44.21,44.08,31.02,30.15,28.86,21.99,18.38,15.3,18.26,21.13,19.3,20.65,17.08,16.91,17.34,22.98,31,34.67,39.75,40.59,33.82,26.78,34.87,26.37,19.36,22.37,20.35,21.45,21.31,20.04,21.23,22.63,15.78,27.15,32.92,36.47,34.99,24.74,35.33,39.1,54.42,45.29,36.73,35.33,35.49,34.64,25.1,19.01,23.59,29.33,22.96,29.01,29.09,23.12,21.53,24.28,21.75,18.76,23.04,23.02,26.14,24.25,15.76,19.36,22.61,18.06,15.78,19.03,27.77,22.16,20.97,22.38,25.91,24.22,37.18,29.47,30,28,20.78,23.17,27.39,42.17,28.39,27.65,20.05,30.53,20.55,19.24,21.81,18.91,16.22,21.75,20.19,14.59,16.35,17.42,13.09,14.46,12.9,14.21,13.31,12.24,13.14,19.75,17.15,18.43,20.76,17.6,18.66,18.99,16.44,23.73,32.22,20.4,25.22,36.44,22.63,27.16,35.35,23.69,24.88,19.04,15.99,19.79,20.38,24.62,24.91,20.27,19.39,21.93,16.37,16.28,14.73,20.52,17.3,21.59,18.73,16.86,17.87,14.85,13.64,13.91,12.03,17.69,13.56,19.34,17.03,18.79,24.14,25.63,18.52,14.57,11.94,10.44,13.46,13.34,14.66,18.1,13.13,12.29,18.37,21.14,21.01,22.18,19.43,15.94,16.36,19.58,18.51,23.64
