번호,시간,회사명,종목코드,공시제목,제출인,접수일자
1084,20:25,금호타이어,073240,감사보고서 제출,금호타이어,2020-03-27
1083,18:56,부산주공,005030,[정정]감사보고서 제출,부산주공,2020-03-27
1082,18:56,한창,005110,불성실공시법인지정예고,유가증권시장본부,2020-03-27
1081,18:52,한진칼,180640,정기주주총회결과,한진칼,2020-03-27
1080,18:48,부산주공,005030,감사보고서 제출[정],부산주공,2020-03-27
1079,18:48,지코,010580,[정정]감사보고서 제출,지코,2020-03-27
1078,18:40,한창,005110,[정정]타법인주식및출자증권취득결정,한창,2020-03-27
1077,18:38,지코,010580,투자유의안내,유가증권시장본부,2020-03-27
1076,18:15,키위미디어그룹,012170,관리종목지정사유변경,유가증권시장본부,2020-03-27
1075,18:14,한국종합기술,023350,[정정]단일판매ㆍ공급계약체결,한국종합기술,2020-03-27
1074,18:13,한국종합기술,023350,정기주주총회결과,한국종합기술,2020-03-27
1073,18:07,,999990,자기주식매매 신청내역(유가증권시장),유가증권시장본부,2020-03-27
1072,18:07,지코,010580,감사보고서 제출[정],지코,2020-03-27
1071,18:06,폴루스바이오팜,007630,투자유의안내,유가증권시장본부,2020-03-27
1070,18:06,,999990,일일 회전율 상위 20종목-ELW포함(유가증권시장),유가증권시장본부,2020-03-27
1069,18:05,,999990,대량매매내역(유가증권시장),유가증권시장본부,2020-03-27
1068,18:05,,999990,일일 회전율 상위 20종목-ELW제외(유가증권시장),유가증권시장본부,2020-03-27
1067,18:05,,999990,자기주식매매 체결내역(유가증권시장),유가증권시장본부,2020-03-27
1066,18:03,금호타이어,073240,정기주주총회결과,금호타이어,2020-03-27
1065,18:02,서연,007860,정기주주총회결과,서연,2020-03-27
1064,18:02,롯데정보통신,286940,정기주주총회결과,롯데정보통신,2020-03-27
1063,18:00,삼호,001880,증권신고서(합병),삼호,2020-03-27
1062,17:59,대한유화,006650,[연결포함]사업보고서(일반법인),대한유화,2020-03-27
1061,17:59,폴루스바이오팜,007630,감사보고서 제출,폴루스바이오팜,2020-03-27
1060,17:59,한진칼,180640,[정정]현금ㆍ현물 배당 결정,한진칼,2020-03-27
